User1,User2,Text
Neutral,Negative,"RT @senatemajldr: Already, House Democrats’ impeachment “inquiry” is violating norms and precedent. They are denying Republicans and Presid…"
Positive,Negative,"The world is facing a crisis at the dinner table, one that climate change will only worsen. I’m optimistic about th… https://t.co/HToIC1QgCa"
Neutral,Negative,Corrupt Congressman Adam Schiff is angry that Ambassadors that he thought would be good for his fraudulent Witch Hu… https://t.co/8a8f8mqZb6
Negative,Negative,"RT @newtgingrich: Nancy Pelosi and Adam Schiff have both become embarrassingly dishonest. They, along with the rest of the House Democrats,…"
Neutral,Negative,"Pelosi and Impeachment - There have already been 3 Votes, and they’ve all failed miserably. Here’s why there may no… https://t.co/Phv5Jtemmt"
Neutral,Negative,"....Therefore, based on both Media & Democrat Crazed and Irrational Hostility, we will no longer consider Trump Nat… https://t.co/qJPYSwIfGP"
Neutral,Negative,"I’m fighting for the American people, but the Democrats’ sole focus is fighting against ME with their fraudulent Wi… https://t.co/8P09w45uGC"
Neutral,Neutral,RT @JudicialWatch: NO MORE VOTER FRAUD: @JudicialWatch President @TomFitton announces 1.59 million ineligible voters to be removed from Cal…
Positive,Negative,RT @RepJohnJoyce: It is disappointing that House Democrats blocked a vote to condemn and censure Chairman Adam Schiff for lying to the Amer…
Positive,Neutral,DEFEAT TERRORISM! https://t.co/8WbnLPgWIK
Negative,Neutral,"Republicans are totally deprived of their rights in this Impeachment Witch Hunt. No lawyers, no questions, no trans… https://t.co/Qd968Gn6bI"
Positive,Neutral,Fighting disease is like fighting fire. It’s not enough to put out most of it — you have to get it all. @Rotary’s g… https://t.co/Zio9nWxsUi
Positive,Neutral,Manufacturing steel is one of the largest sources of greenhouse gas emissions. Boston Metal is working to change th… https://t.co/Xf9uzGmZnY
Neutral,Neutral,"Think back to the last time you experienced a power outage. If you live in New York, you don’t have to think that f… https://t.co/BgezIPxLR3"
Positive,Positive,"Five years ago, India was declared polio-free. This incredible milestone was made possible by the health workers, g… https://t.co/xQTPqO8JXj"
Positive,Neutral,Can you imagine an aircraft engine in your car? The @ARPAE Summit is one of the coolest places to learn about new e… https://t.co/dYPOUnFNfl
Positive,Neutral,"What political and economic changes are needed to address climate change? If you’re between 16 and 25 years old, sh… https://t.co/DarRwwvtq1"
Positive,Neutral,More people are getting their electricity from renewable sources that ever before. Here’s how we can build on the p… https://t.co/bvm0sP7Ebe
Positive,Neutral,Warren and I recently picked up a @DairyQueen shift. I think I may have been a quicker study in the Blizzard depart… https://t.co/9v7Pfyscxe
Neutral,Neutral,"We need the collective effort of governments, individuals, and the private sector to tackle climate change. I’m exc… https://t.co/apqvhzQZZ9"
Neutral,Neutral,"Whether you’re a political leader or just an armchair historian, you’ll learn a lot from @BeschlossDC's book “Presi… https://t.co/wdl4Roovad"
Positive,Neutral,I’ve learned a lot from the career of this real-life Sherlock Holmes: https://t.co/LhCRp52KgN https://t.co/0GnuegjFep
